"","x"
"56","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720110004&lng=en&nrm=iso"
"57","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720100004&lng=en&nrm=iso"
"58","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720090004&lng=en&nrm=iso"
"59","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080004&lng=en&nrm=iso"
"60","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070004&lng=en&nrm=iso"
"61","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080005&lng=en&nrm=iso"
"62","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070005&lng=en&nrm=iso"
"63","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070006&lng=en&nrm=iso"
"64","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720060004&lng=en&nrm=iso"
"65","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050004&lng=en&nrm=iso"
"66","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050005&lng=en&nrm=iso"
"67","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720040004&lng=en&nrm=iso"
"68","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030001&lng=en&nrm=iso"
"69","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030002&lng=en&nrm=iso"
"70","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030003&lng=en&nrm=iso"
"71","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030004&lng=en&nrm=iso"
"72","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020001&lng=en&nrm=iso"
"73","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020002&lng=en&nrm=iso"
"74","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720010001&lng=en&nrm=iso"
"75","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020003&lng=en&nrm=iso"
"76","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020004&lng=en&nrm=iso"
"77","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000001&lng=en&nrm=iso"
"78","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000002&lng=en&nrm=iso"
"79","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000003&lng=en&nrm=iso"
"80","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000004&lng=en&nrm=iso"
"81","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990001&lng=en&nrm=iso"
"82","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990002&lng=en&nrm=iso"
"83","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990003&lng=en&nrm=iso"
"84","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990004&lng=en&nrm=iso"
